mean,sd
1598.890724,553.3777306
0.47990131,0.201261263
-2.452533201,7.889753261
-2.451910197,7.852350147
-2.456960656,7.823264281
-2.47011056,7.805792097
-2.487667503,7.795928888
-2.507103089,7.78068609
5.218167644,9.024995676
5.268749229,9.036804969
5.32755132,9.08916374
5.367162356,9.111262451
5.388758403,9.135870464
5.41227942,9.146515814
41.37517093,4.365553377
7.668022231,2.376923158
3.925515131,1.633443557
0.003141906,0.137654198
0.647078697,1.88101041
13.42044315,5.492893768
168.1381391,118.2607274
163.9705921,93.71139123